,x,sigmax,eb1,"erroreb1[:,0]"
4,-20.125,1.491728651,0.067423092,0.015504695
5,-16.625,1.325344566,0.057570994,0.011126586
6,-13.125,1.276347495,0.042414972,0.00935845
7,-9.625,1.80827135,0.034167841,0.008544379
8,-6.125,1.728848537,0.039874648,0.010531083
9,-2.625,1.499990525,0.027150047,0.005185597
10,0.875,1.429103835,0.026916373,0.006361057
11,4.375,1.264681695,0.023552332,0.001498382
12,7.875,1.712101591,0.017718673,0.002834998
13,11.375,1.750767304,0.015625287,0.004201661
14,14.875,1.673774886,0.015324684,0.003650971
15,18.375,1.635482044,0.011777452,0.004322655
16,21.875,1.359528598,0.009419226,0.003620855
17,25.375,1.611489059,0.00918213,0.005617143
