,x,sigmax,eb1,"erroreb1[:,0]"
0,1.108390,0.000000,0.358323,0.018682
1,3.325170,0.000000,0.197100,0.006763
2,5.541949,0.000000,0.134403,0.008829
3,7.758729,0.000000,0.099384,0.008216
4,9.975509,0.000000,0.078274,0.008333
5,12.192289,0.000000,0.065070,0.005150
6,14.409068,0.000000,0.054332,0.006680
7,16.625848,0.000000,0.047589,0.008623
8,18.842628,0.000000,0.044253,0.011490
9,21.059408,0.000000,0.037909,0.012195
10,23.276187,0.000000,0.033257,0.013657
11,25.492967,0.000000,0.028582,0.013545
12,27.709747,0.000000,0.025868,0.013676
13,29.926527,0.000000,0.021780,0.013198
14,32.143307,0.000000,0.018408,0.012691
15,34.360086,0.000000,0.014626,0.011707
16,36.576866,0.000000,0.011184,0.010273
17,38.793646,0.000000,0.008752,0.008889
18,41.010426,0.000000,0.006285,0.006976
19,43.227205,0.000000,0.004441,0.004763
20,45.443985,0.000000,0.002913,0.003481
21,47.660765,0.000000,0.001715,0.001868
22,49.877545,0.000000,0.000576,0.000659
23,52.094324,0.000000,0.000317,0.000443
24,54.311104,0.000000,0.000070,0.000131
25,56.527884,0.000000,0.000000,0.000000
26,58.744664,0.000000,0.000000,0.000000
27,60.961443,0.000000,0.000000,0.000000
28,63.178223,0.000000,0.000000,0.000000
29,65.395003,0.000000,0.000000,0.000000
