,x,sigmax,eb1,"erroreb1[:,0]"
0,1.845007,0.000000,0.011814,0.002304
1,5.535020,0.000000,0.012357,0.002170
2,9.225033,0.000000,0.015032,0.002510
3,12.915046,0.000000,0.015632,0.004246
4,16.605059,0.000000,0.017107,0.004745
5,20.295072,0.000000,0.018645,0.006352
6,23.985086,0.000000,0.019796,0.006081
7,27.675099,0.000000,0.021715,0.006028
8,31.365112,0.000000,0.024171,0.006303
9,35.055125,0.000000,0.029090,0.006066
10,38.745138,0.000000,0.033607,0.008037
11,42.435151,0.000000,0.038244,0.012082
12,46.125165,0.000000,0.042316,0.014126
13,49.815178,0.000000,0.048138,0.015510
14,53.505191,0.000000,0.054094,0.015027
15,57.195204,0.000000,0.058886,0.015030
16,60.885217,0.000000,0.063248,0.014696
17,64.575230,0.000000,0.066007,0.016588
18,68.265244,0.000000,0.071547,0.016300
19,71.955257,0.000000,0.073396,0.013979
20,75.645270,0.000000,0.077412,0.013401
21,79.335283,0.000000,0.080722,0.013168
22,83.025296,0.000000,0.081420,0.014795
23,86.715309,0.000000,0.078019,0.015685
24,90.405323,0.000000,0.075514,0.019983
25,94.095336,0.000000,0.072535,0.026275
26,97.785349,0.000000,0.065245,0.029065
27,101.475362,0.000000,0.059790,0.033283
28,105.165375,0.000000,0.051399,0.035483
29,108.855388,0.000000,0.044214,0.035298
30,112.545402,0.000000,0.038709,0.034022
31,116.235415,0.000000,0.029733,0.029267
32,119.925428,0.000000,0.021701,0.025264
33,123.615441,0.000000,0.013656,0.019221
34,127.305454,0.000000,0.008808,0.015272
35,130.995467,0.000000,0.005815,0.011581
36,134.685481,0.000000,0.002915,0.006681
37,138.375494,0.000000,0.001383,0.003575
38,142.065507,0.000000,0.000346,0.000915
39,145.755520,0.000000,0.000014,0.000037
40,149.445533,0.000000,0.000000,0.000000
41,153.135546,0.000000,0.000000,0.000000
42,156.825560,0.000000,0.000000,0.000000
43,160.515573,0.000000,0.000000,0.000000
44,164.205586,0.000000,0.000000,0.000000
45,167.895599,0.000000,0.000000,0.000000
46,171.585612,0.000000,0.000000,0.000000
47,175.275625,0.000000,0.000000,0.000000
48,178.965639,0.000000,0.000000,0.000000
49,182.655652,0.000000,0.000000,0.000000
50,186.345665,0.000000,0.000000,0.000000
51,190.035678,0.000000,0.000000,0.000000
52,193.725691,0.000000,0.000000,0.000000
53,197.415704,0.000000,0.000000,0.000000
54,201.105718,0.000000,0.000000,0.000000
55,204.795731,0.000000,0.000000,0.000000
56,208.485744,0.000000,0.000000,0.000000
57,212.175757,0.000000,0.000000,0.000000
58,215.865770,0.000000,0.000000,0.000000
59,219.555783,0.000000,0.000000,0.000000
